Function, Pronunciation (if different), [Pronunciation 2], ...

sin,sign
arcsin,arc sign
sinh,hyperbolic sign
cos,cosign
arccos,arc cosign,are cosign
cosh,hyperbolic cosine
tan,tangent
arctan,arctangent
tanh,hyperbolic tangent
cot,co tangent
coth,hyperbolic co tangent
sec,secant
csc,co secant,Kosi can't

mod,mod,modulus
deg,degree
det,determinant
dim,dimension
exp,EXP
gcd,gcd,greatest common denominator
ker,kernel
log,log,logarithm
ln,natural log,natural logarithm
max,max,maximum
min,min,minimum
